,measure_id,measure_name,location_id,location_name.x,sex_id,sex_name,age_id,age_name,cause_id,cause_name,metric_id,metric_name,year,val,upper,lower,val_pop,upper_pop,lower_pop,age_standard_pop_proportion,age_standard_pop_ratio,location_name,age_median
23,2,DALYs (Disability-Adjusted Life Years),1,Global,3,Both,17,60-64 years,322,Lower respiratory infections,1,Number,2021,3031598.72908709,3273108.29192973,2749720.09104792,320047853.312832,329387624.27068,311524379.587396,3.68223,3.68,Global,62
24,2,DALYs (Disability-Adjusted Life Years),1,Global,3,Both,18,65-69 years,322,Lower respiratory infections,1,Number,2021,3399711.23092231,3683935.89773126,3076874.71874433,275842158.522357,284217678.194795,268116931.088218,2.98509,2.99,Global,67
25,2,DALYs (Disability-Adjusted Life Years),1,Global,3,Both,19,70-74 years,322,Lower respiratory infections,1,Number,2021,3670010.27496915,3976310.75126381,3348367.28798349,205839220.385999,211972020.164289,200406728.542811,2.26526,2.27,Global,72
26,2,DALYs (Disability-Adjusted Life Years),1,Global,3,Both,20,75-79 years,322,Lower respiratory infections,1,Number,2021,3294903.80835462,3630098.23145211,2984714.75736669,131884404.580217,135613447.4,128518633.372437,1.59758,1.6,Global,77
27,2,DALYs (Disability-Adjusted Life Years),1,Global,3,Both,30,80-84 years,322,Lower respiratory infections,1,Number,2021,3073149.93848352,3373926.1749857,2715053.41308847,87583056.918491,89948887.7796038,85481848.25,1.09729,1.1,Global,82
28,2,DALYs (Disability-Adjusted Life Years),1,Global,3,Both,31,85-89 years,322,Lower respiratory infections,1,Number,2021,2339883.67929977,2581827.27629363,2023510.09245675,45721791.0517717,46852862.726504,44709230.7009568,0.604519,0.6,Global,87
29,2,DALYs (Disability-Adjusted Life Years),1,Global,3,Both,32,90-94 years,322,Lower respiratory infections,1,Number,2021,1441724.61675098,1599366.07475023,1167881.83778477,17889373.591415,18289317.0157285,17518670.986049,0.246663,0.25,Global,92
30,2,DALYs (Disability-Adjusted Life Years),1,Global,3,Both,235,95+ years,322,Lower respiratory infections,1,Number,2021,643199.937923066,730262.976629546,472189.252420487,5450308.67493343,5569992.58267677,5337366.13587716,0.0785092,0.08,Global,97
31,2,DALYs (Disability-Adjusted Life Years),1,Global,3,Both,10,25-29 years,332,Meningitis,1,Number,2021,444658.52486394,518290.341992452,393329.836899295,588343218.626762,607422118.669863,570487097.318648,7.59144,7.59,Global,27
32,2,DALYs (Disability-Adjusted Life Years),1,Global,3,Both,11,30-34 years,332,Meningitis,1,Number,2021,409581.408663933,471179.422019553,367267.584629908,604480174.775885,623603836.164416,586195014.793618,7.32171,7.32,Global,32
