measure_id,measure_name,location_id,location_name.x,sex_id,sex_name,age_id,age_name,cause_id,cause_name,metric_id,metric_name,year,val,upper,lower,note,location_name.y,val_pop,upper_pop,lower_pop,age_standard_pop_proportion,age_standard_pop_ratio
2,DALYs (Disability-Adjusted Life Years),1,Global,3,Both,10,25-29 years,302,Diarrheal diseases,1,Number,2021,1301087.96248901,1963176.5672989,916412.037709189,I_include,Global,588343218.626762,607422118.669863,570487097.318648,7.59144,7.59
2,DALYs (Disability-Adjusted Life Years),1,Global,3,Both,11,30-34 years,302,Diarrheal diseases,1,Number,2021,1240756.25663508,1832804.36336384,888397.50937495,I_include,Global,604480174.775885,623603836.164416,586195014.793618,7.32171,7.32
2,DALYs (Disability-Adjusted Life Years),1,Global,3,Both,12,35-39 years,302,Diarrheal diseases,1,Number,2021,1205562.86920114,1765001.61341157,834206.519181558,I_include,Global,560866105.914554,578297964.608428,544251815.345755,6.82805,6.83
2,DALYs (Disability-Adjusted Life Years),1,Global,3,Both,13,40-44 years,302,Diarrheal diseases,1,Number,2021,1144876.24651428,1681924.65471218,793127.302826786,I_include,Global,500250795.605694,515432478.206861,485928430.82182,6.14735,6.15
2,DALYs (Disability-Adjusted Life Years),1,Global,3,Both,14,45-49 years,302,Diarrheal diseases,1,Number,2021,1158652.6200199,1754689.10785262,788689.239069292,I_include,Global,473504625.903218,487919674.240222,460213135.719539,5.51133,5.51
2,DALYs (Disability-Adjusted Life Years),1,Global,3,Both,15,50-54 years,302,Diarrheal diseases,1,Number,2021,1285737.25602763,1969228.83518181,846161.929800439,I_include,Global,444922982.841121,458714304.258768,432300957.286386,4.91312,4.91
2,DALYs (Disability-Adjusted Life Years),1,Global,3,Both,16,55-59 years,302,Diarrheal diseases,1,Number,2021,1454914.20493891,2191440.56455769,946140.020811841,I_include,Global,395728004,407669300.348216,384764582.368839,4.34586,4.35
2,DALYs (Disability-Adjusted Life Years),1,Global,3,Both,17,60-64 years,302,Diarrheal diseases,1,Number,2021,1696653.50788444,2583901.7996125,1059552.68058603,I_include,Global,320047853.312832,329387624.27068,311524379.587396,3.68223,3.68
2,DALYs (Disability-Adjusted Life Years),1,Global,3,Both,18,65-69 years,302,Diarrheal diseases,1,Number,2021,1932868.51151976,3055566.2194284,1186917.9398878,I_include,Global,275842158.522357,284217678.194795,268116931.088218,2.98509,2.99
2,DALYs (Disability-Adjusted Life Years),1,Global,3,Both,19,70-74 years,302,Diarrheal diseases,1,Number,2021,2285283.61940676,3640323.30834275,1353097.77318979,I_include,Global,205839220.385999,211972020.164289,200406728.542811,2.26526,2.27
2,DALYs (Disability-Adjusted Life Years),1,Global,3,Both,20,75-79 years,302,Diarrheal diseases,1,Number,2021,1873349.34154107,2919953.31794935,1160007.33326932,I_include,Global,131884404.580217,135613447.4,128518633.372437,1.59758,1.6
2,DALYs (Disability-Adjusted Life Years),1,Global,3,Both,30,80-84 years,302,Diarrheal diseases,1,Number,2021,1611718.79264612,2466676.13997829,996307.543217036,I_include,Global,87583056.918491,89948887.7796038,85481848.25,1.09729,1.1
2,DALYs (Disability-Adjusted Life Years),1,Global,3,Both,31,85-89 years,302,Diarrheal diseases,1,Number,2021,964031.631274313,1504477.62320936,642732.837615059,I_include,Global,45721791.0517717,46852862.726504,44709230.7009568,0.604519,0.6
2,DALYs (Disability-Adjusted Life Years),1,Global,3,Both,32,90-94 years,302,Diarrheal diseases,1,Number,2021,438304.955454453,660492.211529401,287185.092138518,I_include,Global,17889373.591415,18289317.0157285,17518670.986049,0.246663,0.25
2,DALYs (Disability-Adjusted Life Years),1,Global,3,Both,235,95+ years,302,Diarrheal diseases,1,Number,2021,153855.510499588,225685.533046464,99664.086951671,I_include,Global,5450308.67493343,5569992.58267677,5337366.13587716,0.0785092,0.08
2,DALYs (Disability-Adjusted Life Years),1,Global,3,Both,10,25-29 years,322,Lower respiratory infections,1,Number,2021,1078934.38514075,1195036.40446254,979454.216832967,I_include,Global,588343218.626762,607422118.669863,570487097.318648,7.59144,7.59
2,DALYs (Disability-Adjusted Life Years),1,Global,3,Both,11,30-34 years,322,Lower respiratory infections,1,Number,2021,1166613.93313685,1276069.3191852,1065910.05946912,I_include,Global,604480174.775885,623603836.164416,586195014.793618,7.32171,7.32
2,DALYs (Disability-Adjusted Life Years),1,Global,3,Both,12,35-39 years,322,Lower respiratory infections,1,Number,2021,1323054.43832696,1430339.04859597,1220927.42948367,I_include,Global,560866105.914554,578297964.608428,544251815.345755,6.82805,6.83
2,DALYs (Disability-Adjusted Life Years),1,Global,3,Both,13,40-44 years,322,Lower respiratory infections,1,Number,2021,1509204.20547971,1641008.58134901,1389921.80328229,I_include,Global,500250795.605694,515432478.206861,485928430.82182,6.14735,6.15
2,DALYs (Disability-Adjusted Life Years),1,Global,3,Both,14,45-49 years,322,Lower respiratory infections,1,Number,2021,1677065.46471367,1836047.27053837,1551761.65385038,I_include,Global,473504625.903218,487919674.240222,460213135.719539,5.51133,5.51
2,DALYs (Disability-Adjusted Life Years),1,Global,3,Both,15,50-54 years,322,Lower respiratory infections,1,Number,2021,2025093.77056871,2197611.5176569,1858643.72907841,I_include,Global,444922982.841121,458714304.258768,432300957.286386,4.91312,4.91
2,DALYs (Disability-Adjusted Life Years),1,Global,3,Both,16,55-59 years,322,Lower respiratory infections,1,Number,2021,2443259.92094693,2660941.08980606,2230308.48134341,I_include,Global,395728004,407669300.348216,384764582.368839,4.34586,4.35
2,DALYs (Disability-Adjusted Life Years),1,Global,3,Both,17,60-64 years,322,Lower respiratory infections,1,Number,2021,3031598.72908709,3273108.29192973,2749720.09104792,I_include,Global,320047853.312832,329387624.27068,311524379.587396,3.68223,3.68
2,DALYs (Disability-Adjusted Life Years),1,Global,3,Both,18,65-69 years,322,Lower respiratory infections,1,Number,2021,3399711.23092231,3683935.89773126,3076874.71874433,I_include,Global,275842158.522357,284217678.194795,268116931.088218,2.98509,2.99
2,DALYs (Disability-Adjusted Life Years),1,Global,3,Both,19,70-74 years,322,Lower respiratory infections,1,Number,2021,3670010.27496915,3976310.75126381,3348367.28798349,I_include,Global,205839220.385999,211972020.164289,200406728.542811,2.26526,2.27
2,DALYs (Disability-Adjusted Life Years),1,Global,3,Both,20,75-79 years,322,Lower respiratory infections,1,Number,2021,3294903.80835462,3630098.23145211,2984714.75736669,I_include,Global,131884404.580217,135613447.4,128518633.372437,1.59758,1.6
2,DALYs (Disability-Adjusted Life Years),1,Global,3,Both,30,80-84 years,322,Lower respiratory infections,1,Number,2021,3073149.93848352,3373926.1749857,2715053.41308847,I_include,Global,87583056.918491,89948887.7796038,85481848.25,1.09729,1.1
2,DALYs (Disability-Adjusted Life Years),1,Global,3,Both,31,85-89 years,322,Lower respiratory infections,1,Number,2021,2339883.67929977,2581827.27629363,2023510.09245675,I_include,Global,45721791.0517717,46852862.726504,44709230.7009568,0.604519,0.6
2,DALYs (Disability-Adjusted Life Years),1,Global,3,Both,32,90-94 years,322,Lower respiratory infections,1,Number,2021,1441724.61675098,1599366.07475023,1167881.83778477,I_include,Global,17889373.591415,18289317.0157285,17518670.986049,0.246663,0.25
2,DALYs (Disability-Adjusted Life Years),1,Global,3,Both,235,95+ years,322,Lower respiratory infections,1,Number,2021,643199.937923066,730262.976629546,472189.252420487,I_include,Global,5450308.67493343,5569992.58267677,5337366.13587716,0.0785092,0.08
2,DALYs (Disability-Adjusted Life Years),1,Global,3,Both,10,25-29 years,332,Meningitis,1,Number,2021,444658.52486394,518290.341992452,393329.836899295,I_include,Global,588343218.626762,607422118.669863,570487097.318648,7.59144,7.59
2,DALYs (Disability-Adjusted Life Years),1,Global,3,Both,11,30-34 years,332,Meningitis,1,Number,2021,409581.408663933,471179.422019553,367267.584629908,I_include,Global,604480174.775885,623603836.164416,586195014.793618,7.32171,7.32
2,DALYs (Disability-Adjusted Life Years),1,Global,3,Both,12,35-39 years,332,Meningitis,1,Number,2021,379583.724753561,442020.5419,340772.188333179,I_include,Global,560866105.914554,578297964.608428,544251815.345755,6.82805,6.83
2,DALYs (Disability-Adjusted Life Years),1,Global,3,Both,13,40-44 years,332,Meningitis,1,Number,2021,333482.982646744,380482.911806086,300123.424423837,I_include,Global,500250795.605694,515432478.206861,485928430.82182,6.14735,6.15
2,DALYs (Disability-Adjusted Life Years),1,Global,3,Both,14,45-49 years,332,Meningitis,1,Number,2021,327726.133510555,380104.35871491,293910.066336091,I_include,Global,473504625.903218,487919674.240222,460213135.719539,5.51133,5.51
2,DALYs (Disability-Adjusted Life Years),1,Global,3,Both,15,50-54 years,332,Meningitis,1,Number,2021,290801.979139585,333846.283773464,262182.751006045,I_include,Global,444922982.841121,458714304.258768,432300957.286386,4.91312,4.91
2,DALYs (Disability-Adjusted Life Years),1,Global,3,Both,16,55-59 years,332,Meningitis,1,Number,2021,267658.190515712,305442.341828129,242925.223353748,I_include,Global,395728004,407669300.348216,384764582.368839,4.34586,4.35
2,DALYs (Disability-Adjusted Life Years),1,Global,3,Both,17,60-64 years,332,Meningitis,1,Number,2021,209072.743932869,234723.964734042,190590.215018235,I_include,Global,320047853.312832,329387624.27068,311524379.587396,3.68223,3.68
2,DALYs (Disability-Adjusted Life Years),1,Global,3,Both,18,65-69 years,332,Meningitis,1,Number,2021,183687.290309593,205661.272327917,168962.89834527,I_include,Global,275842158.522357,284217678.194795,268116931.088218,2.98509,2.99
2,DALYs (Disability-Adjusted Life Years),1,Global,3,Both,19,70-74 years,332,Meningitis,1,Number,2021,160418.540834084,178395.089097869,147405.105253559,I_include,Global,205839220.385999,211972020.164289,200406728.542811,2.26526,2.27
2,DALYs (Disability-Adjusted Life Years),1,Global,3,Both,20,75-79 years,332,Meningitis,1,Number,2021,98440.0623685586,108652.139064145,91111.5845847169,I_include,Global,131884404.580217,135613447.4,128518633.372437,1.59758,1.6
2,DALYs (Disability-Adjusted Life Years),1,Global,3,Both,30,80-84 years,332,Meningitis,1,Number,2021,74347.6244659814,81844.2768251836,67513.2203171192,I_include,Global,87583056.918491,89948887.7796038,85481848.25,1.09729,1.1
2,DALYs (Disability-Adjusted Life Years),1,Global,3,Both,31,85-89 years,332,Meningitis,1,Number,2021,36852.2148389912,40360.8274186578,32325.4393626662,I_include,Global,45721791.0517717,46852862.726504,44709230.7009568,0.604519,0.6
2,DALYs (Disability-Adjusted Life Years),1,Global,3,Both,32,90-94 years,332,Meningitis,1,Number,2021,15118.1389885123,16621.8326572884,12859.6117235825,I_include,Global,17889373.591415,18289317.0157285,17518670.986049,0.246663,0.25
2,DALYs (Disability-Adjusted Life Years),1,Global,3,Both,235,95+ years,332,Meningitis,1,Number,2021,5441.35095859784,6125.750814,4269.33277366375,I_include,Global,5450308.67493343,5569992.58267677,5337366.13587716,0.0785092,0.08
2,DALYs (Disability-Adjusted Life Years),1,Global,3,Both,10,25-29 years,337,Encephalitis,1,Number,2021,189811.39017711,224035.838307086,162510.889017324,I_include,Global,588343218.626762,607422118.669863,570487097.318648,7.59144,7.59
2,DALYs (Disability-Adjusted Life Years),1,Global,3,Both,11,30-34 years,337,Encephalitis,1,Number,2021,203974.561654352,237157.685346399,172629.000837271,I_include,Global,604480174.775885,623603836.164416,586195014.793618,7.32171,7.32
2,DALYs (Disability-Adjusted Life Years),1,Global,3,Both,12,35-39 years,337,Encephalitis,1,Number,2021,178429.696050552,211481.073058335,151023.170489436,I_include,Global,560866105.914554,578297964.608428,544251815.345755,6.82805,6.83
2,DALYs (Disability-Adjusted Life Years),1,Global,3,Both,13,40-44 years,337,Encephalitis,1,Number,2021,188785.208125465,232363.929798149,158832.760063791,I_include,Global,500250795.605694,515432478.206861,485928430.82182,6.14735,6.15
2,DALYs (Disability-Adjusted Life Years),1,Global,3,Both,14,45-49 years,337,Encephalitis,1,Number,2021,156204.836577678,188805.459651764,134047.228809716,I_include,Global,473504625.903218,487919674.240222,460213135.719539,5.51133,5.51
2,DALYs (Disability-Adjusted Life Years),1,Global,3,Both,15,50-54 years,337,Encephalitis,1,Number,2021,142489.683706731,180258.689009568,121379.068845416,I_include,Global,444922982.841121,458714304.258768,432300957.286386,4.91312,4.91
2,DALYs (Disability-Adjusted Life Years),1,Global,3,Both,16,55-59 years,337,Encephalitis,1,Number,2021,161120.955602699,198417.168139355,136751.131756777,I_include,Global,395728004,407669300.348216,384764582.368839,4.34586,4.35
2,DALYs (Disability-Adjusted Life Years),1,Global,3,Both,17,60-64 years,337,Encephalitis,1,Number,2021,161824.852155694,196130.264611904,138935.021041094,I_include,Global,320047853.312832,329387624.27068,311524379.587396,3.68223,3.68
2,DALYs (Disability-Adjusted Life Years),1,Global,3,Both,18,65-69 years,337,Encephalitis,1,Number,2021,154549.97611154,188755.850279195,132792.437458479,I_include,Global,275842158.522357,284217678.194795,268116931.088218,2.98509,2.99
2,DALYs (Disability-Adjusted Life Years),1,Global,3,Both,19,70-74 years,337,Encephalitis,1,Number,2021,160036.641041735,190850.908229984,136760.903341171,I_include,Global,205839220.385999,211972020.164289,200406728.542811,2.26526,2.27
2,DALYs (Disability-Adjusted Life Years),1,Global,3,Both,20,75-79 years,337,Encephalitis,1,Number,2021,119103.067536879,142276.434139766,98035.0887999208,I_include,Global,131884404.580217,135613447.4,128518633.372437,1.59758,1.6
